#pathway	#num_genes	#num_pairs	#sum_fractional_group_centrality	#averaged_fractional_group_centrality
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	249	6120	0.235154	0.000944
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	76	6120	0.202734	0.002668
KEGG_NON_HOMOLOGOUS_END_JOINING	14	6120	0.001993	0.000142
KEGG_TASTE_TRANSDUCTION	51	6120	0.004722	0.000093
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	6120	0.000303	0.000009
KEGG_GALACTOSE_METABOLISM	26	6120	0.000391	0.000015
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	57	6120	0.129889	0.002279
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28	6120	0.000000	0.000000
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	6120	0.000005	0.000000
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	6120	0.001497	0.000088
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	6120	0.000040	0.000002
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	6120	0.000000	0.000000
KEGG_RETINOL_METABOLISM	64	6120	0.000000	0.000000
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	53	6120	0.022238	0.000420
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14	6120	0.000000	0.000000
KEGG_DNA_REPLICATION	36	6120	0.008577	0.000238
KEGG_ACUTE_MYELOID_LEUKEMIA	59	6120	0.210811	0.003573
KEGG_LONG_TERM_POTENTIATION	69	6120	0.064804	0.000939
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15	6120	0.000000	0.000000
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19	6120	0.000000	0.000000
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	6120	0.001194	0.000027
KEGG_TYROSINE_METABOLISM	41	6120	0.000162	0.000004
KEGG_DILATED_CARDIOMYOPATHY	86	6120	0.053514	0.000622
KEGG_GLYCEROLIPID_METABOLISM	49	6120	0.000535	0.000011
KEGG_SELENOAMINO_ACID_METABOLISM	26	6120	0.000009	0.000000
KEGG_GRAFT_VERSUS_HOST_DISEASE	34	6120	0.009583	0.000282
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	124	6120	0.389382	0.003140
KEGG_VIBRIO_CHOLERAE_INFECTION	55	6120	0.032660	0.000594
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	6120	0.000265	0.000012
KEGG_JAK_STAT_SIGNALING_PATHWAY	147	6120	0.293407	0.001996
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	6120	0.000014	0.000000
KEGG_GLIOMA	64	6120	0.312444	0.004882
KEGG_PROTEASOME	47	6120	0.010402	0.000221
KEGG_COLORECTAL_CANCER	59	6120	0.168715	0.002860
KEGG_BLADDER_CANCER	37	6120	0.174710	0.004722
KEGG_BASAL_CELL_CARCINOMA	53	6120	0.068896	0.001300
KEGG_PANCREATIC_CANCER	68	6120	0.275069	0.004045
KEGG_ENDOCYTOSIS	178	6120	0.227517	0.001278
KEGG_REGULATION_OF_AUTOPHAGY	34	6120	0.002123	0.000062
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	111	6120	0.070098	0.000632
KEGG_SPLICEOSOME	128	6120	0.040804	0.000319
KEGG_ETHER_LIPID_METABOLISM	33	6120	0.000150	0.000005
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	6120	0.000094	0.000002
KEGG_HEDGEHOG_SIGNALING_PATHWAY	55	6120	0.038843	0.000706
KEGG_PURINE_METABOLISM	158	6120	0.001816	0.000011
KEGG_CALCIUM_SIGNALING_PATHWAY	175	6120	0.138243	0.000790
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11	6120	0.000127	0.000012
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	6120	0.000000	0.000000
KEGG_OLFACTORY_TRANSDUCTION	388	6120	0.024438	0.000063
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	6120	0.000677	0.000025
KEGG_VEGF_SIGNALING_PATHWAY	74	6120	0.127855	0.001728
KEGG_FATTY_ACID_METABOLISM	42	6120	0.000040	0.000001
KEGG_PRIMARY_IMMUNODEFICIENCY	29	6120	0.045035	0.001553
KEGG_PATHWAYS_IN_CANCER	312	6120	0.781629	0.002505
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	63	6120	0.141273	0.002242
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	9	6120	0.000000	0.000000
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	62	6120	0.050757	0.000819
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	6120	0.000314	0.000013
KEGG_MTOR_SIGNALING_PATHWAY	50	6120	0.041610	0.000832
